,Case_Number,Case_NumberAlt,Reported_Date,Occurred_Date,NIBRS_Crime_Against,Offense_Category,Offense,Problem_Initial,Problem_Final,Address,Precinct,Neighborhood,Latitude,Longitude,Date_Occurred,Time_Occurred,Date_Reported,Time_Reported
85920,22-203563,MP2022203563,2022-08-30 19:51:00+00:00,2022-08-30 19:51:00+00:00,Property ,Robbery ,Robbery ,Person with a Weapon (P),Person with a Weapon (P),39TH ST E / LONGFELLOW AVE,3.0,Standish,44.93232,-93.24607,2022-08-30,19:51:00,2022-08-30,19:51:00
86051,22-051418,MP202251418,2022-03-12 08:40:00+00:00,2022-03-12 08:30:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft in Progress (P),Auto Theft in Progress (P),0039XX 28TH AVE S,3.0,Standish,44.9314,-93.23211,2022-03-12,08:30:00,2022-03-12,08:40:00
86107,20-702952,MP2020702952,2020-05-29 11:08:00+00:00,2020-05-29 08:15:00+00:00,Property ,Larceny/Theft Offenses ,All Other Larceny ,,,0041XX 26TH AVE S,3.0,Standish,44.9278,-93.23466,2020-05-29,08:15:00,2020-05-29,11:08:00
86378,22-164149,MP2022164149,2022-07-19 08:16:00+00:00,2022-07-19 08:16:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,Domestic Abuse-In Progress (P),Domestic (P),0041XX 26TH AVE S,3.0,Standish,44.9278,-93.23466,2022-07-19,08:16:00,2022-07-19,08:16:00
86381,19-706298,MP2019706298,2019-10-04 08:17:00+00:00,2019-10-04 00:30:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-10-04,00:30:00,2019-10-04,08:17:00
86387,20-703676,MP2020703676,2020-07-02 12:55:00+00:00,2020-07-02 10:20:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0041XX 26TH AVE S,3.0,Standish,44.9278,-93.23466,2020-07-02,10:20:00,2020-07-02,12:55:00
86482,20-704549,MP2020704549,2020-08-01 11:53:00+00:00,2020-08-01 03:48:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2020-08-01,03:48:00,2020-08-01,11:53:00
86610,19-257418,MP2019257418,2019-08-27 02:59:00+00:00,2019-08-27 02:38:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,Damage Property-Rpt Only (P),Damage Property-Rpt Only (P),0041XX CEDAR AVE S,3.0,Standish,44.92781,-93.24732,2019-08-27,02:38:00,2019-08-27,02:59:00
86778,22-711609,MP2022711609,2022-10-06 08:36:00+00:00,2022-10-06 03:30:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,,,0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2022-10-06,03:30:00,2022-10-06,08:36:00
86807,22-214413,MP2022214413,2022-09-11 15:29:00+00:00,2022-09-11 12:53:00+00:00,Property ,Larceny/Theft Offenses ,Theft of Motor Vehicle Parts or Accessories ,Theft - Report Only (P),Theft - Report Only (P),0038XX 24TH AVE S,3.0,Standish,44.93321,-93.23719,2022-09-11,12:53:00,2022-09-11,15:29:00
87191,21-005310,MP20215310,2021-01-08 15:14:00+00:00,2021-01-08 13:20:00+00:00,Person ,Sex Offenses ,Sex Offenses,Crim Sex Conduct/Report (P),Crim Sex Conduct/Report (P),0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2021-01-08,13:20:00,2021-01-08,15:14:00
